F1,F2,F3,F4,F5,F6,F7,Q1,Q1S1,Q1S2_1,Q1S2_2,Q1S2_3,Q1S2_4,Q1S2_5,Q1S2_6,Q1S2_7,Q1S2_8,Q1S2_9,Q2,Q2S1,Q2S2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3
2,73,4,7,2,1,2,2,5,,,,,,,,,,6,2,,"1,,,,1,,,,",5,4,5,2,3,,
1,60,4,9,2,1,2,4,,,,,,,,,,,8,,1,",,,,,,,1,",2,1,3,2,,2,
2,26,3,7,2,2,3,2,6,,,,,,,,,,6,2,,",1,1,,1,1,,,",3,3,5,3,,2,
1,35,4,9,1,1,3,4,,,,,,1,,,,,8,,8,",,,,,,,,1",3,3,3,3,,,1
1,76,3,4,1,2,3,4,,,,,,,1,,,,8,,8,"1,,,,1,,,,",4,1,4,2,,2,
1,32,3,7,1,1,9,1,9,,,,,,,,,,8,,8,",,,,,,,1,",3,3,3,3,1,,
1,71,4,1,2,1,2,4,,,,1,,,,,,,1,2,,",1,1,,,,,,",3,3,2,5,1,,
2,63,3,1,2,1,3,1,2,,,,,,,,,,2,2,,"1,,,,1,,,,",4,2,2,2,,,1
1,37,4,1,2,2,8,1,1,,,,,,,,,,1,2,,",,,,,,,,",4,3,4,2,,,2
2,62,4,2,2,1,2,2,1,,,,,,,,,,1,2,,",,,,,1,,,",2,2,2,2,,3,
2,44,3,7,1,1,3,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",4,3,5,2,,5,
1,61,4,7,2,1,3,2,1,,,,,,,,,,1,2,,",1,,,,,1,,",4,2,4,2,3,,
1,65,3,1,2,1,3,4,,,,,,1,,,,,8,,8,"1,,,1,1,,,,",2,1,2,2,2,,
1,43,1,6,2,1,2,3,,,1,,,,,,,,8,,5,",,,,,,,1,",4,3,4,2,,1,
1,41,3,7,1,2,4,1,1,,,,,,,,,,1,1,,",1,1,,,1,,,",5,4,5,3,,,5
2,47,4,10,2,1,7,1,4,,,,,,,,,,8,,8,",,,,,,,,1",3,3,4,3,,,1
2,25,4,1,2,1,4,4,,,,,,1,,,,,4,2,,",,,,,1,,,",4,3,1,2,3,,
2,66,2,9,1,1,2,1,3,,,,,,,,,,8,,8,",,,,,,,1,",2,2,2,2,3,,
2,72,4,6,1,1,3,1,9,,,,,,,,,,9,,,",,,,,,,,1",3,2,3,3,,4,
1,72,4,9,2,1,3,2,2,,,,,,,,,,2,2,,"1,,,,1,,,,",3,2,3,2,,,2
2,60,4,6,2,1,2,2,1,,,,,,,,,,9,,,",,,,,,,1,",1,3,1,2,4,,
2,74,4,7,1,1,6,4,,,,,,,,,,1,6,2,,",1,,,1,,,,",3,3,3,2,3,,
2,47,4,3,2,1,2,1,3,,,,,,,,,,4,1,,",1,1,,,1,,,",5,4,5,2,1,,
2,65,4,1,2,2,8,1,2,,,,,,,,,,1,2,,",,,,1,,,,",2,2,2,2,3,,
1,61,3,10,1,1,2,1,1,,,,,,,,,,1,2,,",,,,1,1,,,",4,1,4,2,,,3
1,43,4,1,1,2,3,1,4,,,,,,,,,,1,2,,",1,,,,1,,,",5,4,4,3,,3,
2,44,2,2,2,2,8,1,9,,,,,,,,,,9,,,",,,,,,,,1",3,3,3,3,3,,
2,41,2,3,2,1,9,1,2,,,,,,,,,,2,2,,"1,,,1,1,,,,",5,2,5,1,,,1
1,65,4,1,2,1,2,4,,,,,1,,,,,,1,2,,",,,,,,,1,",5,1,4,4,,,5
2,41,4,6,1,2,2,1,1,,,,,,,,,,9,,,",,,,,,,,1",3,3,3,3,,,5
1,70,3,7,1,1,4,4,,,,,,1,1,,,,1,2,,",1,,,,1,,,",4,3,3,2,1,,
2,49,3,6,2,2,6,1,9,,,,,,,,,,8,,8,",,,,,,,,",4,2,2,2,,,1
1,74,3,6,2,1,8,1,2,,,,,,,,,,8,,8,"1,,,1,1,,,,",4,4,2,2,4,,
1,72,2,7,1,2,2,5,,,,,,,,,,,6,2,,",,,,,,,,",2,1,2,2,4,,
1,67,2,1,1,1,9,2,8,,,,,,,,,,9,,,",,,,,1,,,",5,3,2,2,4,,
2,55,4,1,3,1,2,5,,,,,,,,,,,1,2,,",,,,,,,,1",5,5,5,5,2,,
2,38,2,1,1,2,4,2,1,,,,,,,,,,1,2,,"1,1,1,1,1,1,,,",3,2,3,4,,5,
2,57,4,7,1,1,2,3,,1,1,,,,,,,,4,2,,",1,,,,,,,",3,2,2,2,4,,
1,70,4,1,2,1,6,2,1,,,,,,,,,,1,2,,",,,,,,,,",3,3,4,2,,,4
2,49,2,7,2,1,2,1,9,,,,,,,,,,9,,,",,,,,,,1,",4,2,3,2,1,,
2,53,2,10,2,1,6,2,2,,,,,,,,,,7,2,,"1,,,,1,,,,",5,1,1,2,2,,
2,42,4,9,3,1,7,2,9,,,,,,,,,,9,,,",,,,,,,1,",4,1,2,2,,4,
1,48,2,1,2,1,9,1,2,,,,,,,,,,8,,8,",,,,,,,1,",4,3,3,2,1,,
1,42,2,7,1,2,9,1,2,,,,,,,,,,9,,,",,,,,,,,1",3,2,3,2,,1,
1,62,4,1,2,1,1,3,,,1,,,,,,,,1,2,,",,,,,,,,1",3,3,3,3,,,1
2,35,4,7,2,2,9,1,1,,,,,,,,,,1,1,,",1,1,,,1,,,",4,2,5,2,,,2
2,57,3,6,2,2,9,1,6,,,,,,,,,,6,1,,"1,,,,,,,,",5,5,5,2,,,5
